"","country","indoc_mean","repr_mean","indoc_max","repr_max","indoctrination_r","repression_r"
"1","Albania",-0.797757120500782,0.142760563380282,-0.797757120500782,0.142760563380282,0.348667138646153,0.953268583756065
"2","Armenia",-1.76736388888889,0.117888888888889,-1.76736388888889,0.117888888888889,0.849689138470157,0.9844143504853
"3","Austria",-0.572976190476191,0.533625,-0.572976190476191,0.533625,0.232516762271984,0.463805255907977
"4","Belarus",-1.58963253012048,0.180867469879518,-1.58963253012048,0.180867469879518,0.757850546058495,0.905548884746306
"5","Bosnia",-1.13200869565217,0.366108695652174,-1.13200869565217,0.366108695652174,0.521383953427753,0.673578978234813
"6","Bulgaria",-1.75995111111111,0.191533333333333,-1.75995111111111,0.191533333333333,0.845858756022799,0.892192466174112
"7","Czechia",-1.4647669250646,0.24353488372093,-1.4647669250646,0.24353488372093,0.693329116140741,0.827073080726576
"8","East Germany",-2.05825416666667,0.2729625,-2.05825416666667,0.2729625,1,0.790222096996368
"9","Estonia",-0.122996296296296,0.882333333333333,-0.122996296296296,0.882333333333333,0,0.0271322683172628
"10","Georgia",-1.78802158730159,0.105442857142857,-1.78802158730159,0.105442857142857,0.860363529066355,1
"11","Greece",-0.686518055555555,0.23275,-0.686518055555555,0.23275,0.291186909965343,0.840578543444427
"12","Hungary",-0.864390211640212,0.253,-0.864390211640212,0.253,0.383098256152306,0.8152203080556
"13","Italy",-0.274005777777778,0.2816,-0.274005777777778,0.2816,0.0780306768382145,0.779405713876814
"14","Latvia",-0.455911111111111,0.805,-0.455911111111111,0.805,0.172026074618728,0.123973595234262
"15","Lithuania",-0.627251851851852,0.904,-0.627251851851852,0.904,0.260562462127618,0
"16","Macedonia",-1.13200869565217,0.366108695652174,-1.13200869565217,0.366108695652174,0.521383953427753,0.673578978234813
"17","Moldova",-1.84581666666667,0.149153846153846,-1.84581666666667,0.149153846153846,0.890227807233077,0.945262540818812
"18","Poland",-1.08207002583979,0.423720930232558,-1.08207002583979,0.423720930232558,0.495579294226018,0.60143356560441
"19","Portugal",-0.378014666666667,0.3144,-0.378014666666667,0.3144,0.131774878311987,0.738331633839604
"20","Romania",-1.01754696969697,0.162409090909091,-1.01754696969697,0.162409090909091,0.462238488780553,0.928663547404491
"21","Russia",-1.74282962962963,0.113066666666667,-1.74282962962963,0.113066666666667,0.837011624204545,0.99045301943386
"22","Serbia",-1.09844166666667,0.373583333333333,-1.09844166666667,0.373583333333333,0.504038963129853,0.664218799382219
"23","Slovenia",-1.1012,0.397229166666667,-1.1012,0.397229166666667,0.505464268447333,0.634608102709053
"24","Spain",-0.461375925925926,0.226380952380952,-0.461375925925926,0.226380952380952,0.174849892001664,0.848554237702523
"25","Ukraine",-1.75896438356164,0.115342465753425,-1.75896438356164,0.115342465753425,0.845348887253074,0.987603130597332
"26","West Germany",-0.858123111111111,0.1396,-0.858123111111111,0.1396,0.379859876076424,0.957226426233027
